"act_heat_index","act_heat_index_smart","animal_activity","heat_index","low_pass_over_activity","percentile60_of_5day_temp","stomach_temp","temp_dec_index","temp_height_index","temp_inc_index","temp_without_drink_cycles","time","CowID"
"","","0.0","","0.0","","","","","","","2019-01-09 15:38:00","11387"
"","","4.26","","2.6","","","","","","","2019-01-09 15:48:00","11387"
"","","11.809","","5.201","","","","","","","2019-01-09 15:58:00","11387"
"","","7.109","","8.241","","","","","","39.52","2019-01-09 16:08:00","11387"
"","","8.829","","10.905","","","","","","39.43","2019-01-09 16:18:00","11387"
"","","4.009","","11.98","","","","","","39.35","2019-01-09 16:28:00","11387"
"","","3.729","","13.612","","","","","","39.27","2019-01-09 16:38:00","11387"
"","","4.149","","14.377","","","","","","39.18","2019-01-09 16:48:00","11387"
"","","8.269","","14.332","","","","","","39.1","2019-01-09 16:58:00","11387"
"","","7.669","","14.56","","","","","","39.02","2019-01-09 17:08:00","11387"
"","","5.689","","14.087","","","","","","38.93","2019-01-09 17:18:00","11387"
"","","5.019","","13.509","","","","","","38.85","2019-01-09 17:28:00","11387"
"","","6.239","","14.193","","","","","","38.77","2019-01-09 17:38:00","11387"
"","","3.559","","14.604","","","","","","38.85","2019-01-09 17:48:00","11387"
"","","3.349","","14.364","","","","","","39.08","2019-01-09 17:58:00","11387"
"","","3.629","","12.691","","","","","","39.33","2019-01-09 18:08:00","11387"
"","","2.569","","10.933","","","","","","39.56","2019-01-09 18:18:00","11387"
"","","3.819","","10.095","","","","","","39.74","2019-01-09 18:28:00","11387"
"","","4.599","","9.334","","","","","","39.88","2019-01-09 18:38:00","11387"
"","","3.329","","8.845","","","","","","39.91","2019-01-09 18:48:00","11387"
"","","3.299","","8.752","","","","","","39.92","2019-01-09 18:58:00","11387"
"","","4.629","","8.658","","","","","","39.95","2019-01-09 19:08:00","11387"
"","","6.059","","9.179","","","","","","40.01","2019-01-09 19:18:00","11387"
"","","3.749","","9.586","","","","","","40.04","2019-01-09 19:28:00","11387"
"","","4.779","","9.977","","","","","","40.04","2019-01-09 19:38:00","11387"
"","","2.829","","9.948","","","","","","40.12","2019-01-09 19:48:00","11387"
"","","3.129","","9.867","","","","","","40.18","2019-01-09 19:58:00","11387"
"","","4.469","","9.785","","","","","","40.25","2019-01-09 20:08:00","11387"
"","","5.2","","9.72","","","","","","40.32","2019-01-09 20:18:00","11387"
"","","6.13","","9.953","","","","","","40.32","2019-01-09 20:28:00","11387"
"","","8.05","","10.503","","","","","","40.28","2019-01-09 20:38:00","11387"
"","","4.24","","11.472","","","","","","40.2","2019-01-09 20:48:00","11387"
"","","5.61","","12.481","","","","","","40.11","2019-01-09 20:58:00","11387"
"","","4.58","","13.072","","","","","","40.03","2019-01-09 21:08:00","11387"
"","","3.09","","13.117","","","","","","39.95","2019-01-09 21:18:00","11387"
"","","3.08","","12.258","","","","","","39.86","2019-01-09 21:28:00","11387"
"","","4.13","","11.021","","","","","","39.82","2019-01-09 21:38:00","11387"
"","","3.09","","9.784","","","","","","39.94","2019-01-09 21:48:00","11387"
"","","3.48","","8.917","","","","","","40.15","2019-01-09 21:58:00","11387"
"","","4.08","","8.469","","","","","","40.26","2019-01-09 22:08:00","11387"
"","","3.63","","8.083","","","","","","40.4","2019-01-09 22:18:00","11387"
"","","3.32","","8.302","","","","","","40.4","2019-01-09 22:28:00","11387"
"","","1.569","","8.396","","","","","","40.42","2019-01-09 22:38:00","11387"
"","","3.619","","8.49","","","","","","40.47","2019-01-09 22:48:00","11387"
"","","3.209","","8.379","","","","","","40.47","2019-01-09 22:58:00","11387"
"","","3.219","","8.273","","","","","","40.6","2019-01-09 23:08:00","11387"
"","","4.319","","8.106","","","","","","40.67","2019-01-09 23:18:00","11387"
"","","3.739","","8.15","","","","","","40.67","2019-01-09 23:28:00","11387"
"","","4.569","","8.557","","","","","","40.66","2019-01-09 23:38:00","11387"
"","","3.939","","8.809","","","","","","40.66","2019-01-09 23:48:00","11387"
"","","4.1","","9.171","","","","","","40.6","2019-01-09 23:58:00","11387"
"","","2.779","","9.464","","","","","","40.52","2019-01-10 00:08:00","11387"
"","","5.369","","9.823","","","","","","40.43","2019-01-10 00:18:00","11387"
"","","3.979","","9.921","","","","","","40.35","2019-01-10 00:28:00","11387"
"","","3.369","","9.782","","","","","","40.27","2019-01-10 00:38:00","11387"
"","","5.3","","9.798","","","","","","40.18","2019-01-10 00:48:00","11387"
"","","3.809","","9.68","","","","","","40.1","2019-01-10 00:58:00","11387"
"","","4.66","","9.973","","","","","","40.02","2019-01-10 01:08:00","11387"
"","","3.37","","9.855","","","","","","39.93","2019-01-10 01:18:00","11387"
"","","4.09","","9.9","","","","","","39.85","2019-01-10 01:28:00","11387"
"","","2.729","","9.652","","","","","","39.77","2019-01-10 01:38:00","11387"
"","","1.719","","9.144","","","","","","39.71","2019-01-10 01:48:00","11387"
"","","3.279","","8.704","","","","","","39.92","2019-01-10 01:58:00","11387"
"","","3.069","","8.056","","","","","","40.08","2019-01-10 02:08:00","11387"
"","","4.199","","7.841","","","","","","40.22","2019-01-10 02:18:00","11387"
"","","5.409","","7.885","","","","","","40.26","2019-01-10 02:28:00","11387"
"","","5.539","","8.715","","","","","","40.3","2019-01-10 02:38:00","11387"
"","","5.129","","9.806","","","","","","40.38","2019-01-10 02:48:00","11387"
"","","4.459","","10.783","","","","","","40.45","2019-01-10 02:58:00","11387"
"","","3.909","","11.348","","","","","","40.53","2019-01-10 03:08:00","11387"
"","","4.739","","11.829","","","","","","40.66","2019-01-10 03:18:00","11387"
"","","4.549","","11.971","","","","","","40.74","2019-01-10 03:28:00","11387"
"","","3.379","","11.621","","","","","","40.79","2019-01-10 03:38:00","11387"
"","","2.339","","10.795","","","","","","40.79","2019-01-10 03:48:00","11387"
"","","2.079","","9.659","","","","","","40.79","2019-01-10 03:58:00","11387"
"","","3.149","","8.796","","","","","","40.91","2019-01-10 04:08:00","11387"
"","","4.279","","8.263","","","","","","41.01","2019-01-10 04:18:00","11387"
"","","5.049","","8.153","","","","","","41.04","2019-01-10 04:28:00","11387"
"","","3.559","","8.043","","","","","","41.08","2019-01-10 04:38:00","11387"
"","","4.169","","8.365","","","","","","41.08","2019-01-10 04:48:00","11387"
"","","4.429","","9.11","","","","","","41.08","2019-01-10 04:58:00","11387"
"","","3.809","","9.855","","","","","","41.08","2019-01-10 05:08:00","11387"
"","","3.809","","10.123","","","","","","41.11","2019-01-10 05:18:00","11387"
"","","4.589","","9.932","","","","","","41.13","2019-01-10 05:28:00","11387"
"","","4.719","","10.058","","","","","","41.15","2019-01-10 05:38:00","11387"
"","","4.969","","10.282","","","","","","41.24","2019-01-10 05:48:00","11387"
"","","4.089","","10.506","","","","","","41.26","2019-01-10 05:58:00","11387"
"","","5.339","","10.831","","","","","","41.31","2019-01-10 06:08:00","11387"
"","","4.729","","11.206","","","","","","41.31","2019-01-10 06:18:00","11387"
"","","4.649","","11.58","","","","","","41.34","2019-01-10 06:28:00","11387"
"","","4.55","","11.605","","","","","","41.34","2019-01-10 06:38:00","11387"
"","","4.08","","11.536","","","","","","41.34","2019-01-10 06:48:00","11387"
"","","1.43","","11.276","","","","","","41.35","2019-01-10 06:58:00","11387"
"","","1.72","","9.954","","","","","","41.39","2019-01-10 07:08:00","11387"
"","","3.28","","8.729","","","","","","41.41","2019-01-10 07:18:00","11387"
"","","3.63","","8.139","","","","","","41.48","2019-01-10 07:28:00","11387"
