,act_heat_index,act_heat_index_smart,animal_activity,heat_index,low_pass_over_activity,percentile60_of_5day_temp,stomach_temp,temp_dec_index,temp_height_index,temp_inc_index,temp_without_drink_cycles,time,CowID
0,,,0.0,,0.0,,,,,,,2018-12-12 16:34:00,9896
1,,,5.5,,3.357,,,,,,,2018-12-12 16:44:00,9896
2,,,17.46,,6.715,,,,,,,2018-12-12 16:54:00,9896
3,,,9.2,,10.653,,,,,,35.83,2018-12-12 17:04:00,9896
4,,,3.91,,13.015,,,,,,37.56,2018-12-12 17:14:00,9896
5,,,4.83,,12.812,,,,,,37.85,2018-12-12 17:24:00,9896
6,,,5.76,,14.778,,,,,,38.04,2018-12-12 17:34:00,9896
7,,,4.55,,15.624,,,,,,38.93,2018-12-12 17:44:00,9896
8,,,2.72,,15.238,,,,,,39.28,2018-12-12 17:54:00,9896
9,,,2.16,,12.6,,,,,,39.39,2018-12-12 18:04:00,9896
10,,,2.84,,9.963,,,,,,39.55,2018-12-12 18:14:00,9896
11,,,2.96,,9.153,,,,,,39.69,2018-12-12 18:24:00,9896
12,,,2.73,,8.343,,,,,,39.82,2018-12-12 18:34:00,9896
13,,,3.15,,7.582,,,,,,39.94,2018-12-12 18:44:00,9896
14,,,2.55,,6.841,,,,,,40.06,2018-12-12 18:54:00,9896
15,,,4.42,,7.016,,,,,,40.07,2018-12-12 19:04:00,9896
16,,,5.69,,7.708,,,,,,40.13,2018-12-12 19:14:00,9896
17,,,14.72,,8.868,,,,,,40.13,2018-12-12 19:24:00,9896
18,,,10.48,,11.978,,,,,,40.05,2018-12-12 19:34:00,9896
19,,,6.86,,15.038,,,,,,39.96,2018-12-12 19:44:00,9896
20,,,4.45,,16.719,,,,,,39.88,2018-12-12 19:54:00,9896
21,,,4.1,,17.248,,,,,,39.8,2018-12-12 20:04:00,9896
22,,,10.53,,17.26,,,,,,39.79,2018-12-12 20:14:00,9896
23,,,8.61,,18.449,,,,,,39.77,2018-12-12 20:24:00,9896
24,,,7.29,,17.688,,,,,,39.77,2018-12-12 20:34:00,9896
25,,,10.5,,16.927,,,,,,39.77,2018-12-12 20:44:00,9896
26,,,8.87,,17.745,,,,,,39.69,2018-12-12 20:54:00,9896
27,,,4.629,,19.544,,,,,,39.6,2018-12-12 21:04:00,9896
28,,,4.109,,19.617,,,,,,39.52,2018-12-12 21:14:00,9896
29,,,4.249,,17.842,,,,,,39.44,2018-12-12 21:24:00,9896
30,,,7.18,,16.067,,,,,,39.35,2018-12-12 21:34:00,9896
31,,,7.51,,15.485,,,,,,39.27,2018-12-12 21:44:00,9896
32,,,6.41,,14.797,,,,,,39.32,2018-12-12 21:54:00,9896
33,,,8.21,,14.243,,,,,,39.52,2018-12-12 22:04:00,9896
34,,,7.07,,15.237,,,,,,39.68,2018-12-12 22:14:00,9896
35,,,5.92,,16.385,,,,,,39.79,2018-12-12 22:24:00,9896
36,,,4.29,,17.065,,,,,,39.83,2018-12-12 22:34:00,9896
37,,,6.14,,16.552,,,,,,39.83,2018-12-12 22:44:00,9896
38,,,7.45,,16.129,,,,,,39.83,2018-12-12 22:54:00,9896
39,,,8.16,,16.105,,,,,,39.83,2018-12-12 23:04:00,9896
40,,,9.13,,16.548,,,,,,39.89,2018-12-12 23:14:00,9896
41,,,6.2,,16.992,,,,,,39.92,2018-12-12 23:24:00,9896
42,,,5.94,,17.106,,,,,,39.94,2018-12-12 23:34:00,9896
43,,,4.62,,17.114,,,,,,40.02,2018-12-12 23:44:00,9896
44,,,11.32,,17.032,,,,,,40.13,2018-12-12 23:54:00,9896
45,,,10.17,,18.14,,,,,,40.13,2018-12-13 00:04:00,9896
46,,,7.93,,18.958,,,,,,40.05,2018-12-13 00:14:00,9896
47,,,8.31,,19.019,,,,,,39.96,2018-12-13 00:24:00,9896
48,,,7.67,,19.723,,,,,,39.88,2018-12-13 00:34:00,9896
49,,,5.96,,20.427,,,,,,39.8,2018-12-13 00:44:00,9896
50,,,6.83,,20.789,,,,,,39.71,2018-12-13 00:54:00,9896
51,,,7.04,,19.43,,,,,,39.63,2018-12-13 01:04:00,9896
52,,,9.57,,18.156,,,,,,39.68,2018-12-13 01:14:00,9896
