,act_heat_index,act_heat_index_smart,animal_activity,heat_index,low_pass_over_activity,percentile60_of_5day_temp,stomach_temp,temp_dec_index,temp_height_index,temp_inc_index,temp_without_drink_cycles,time,CowID
0,,,0.0,,0.0,,,,,,,2018-05-30 15:49:00,7844
1,,,6.53,,3.986,,,,,,,2018-05-30 15:59:00,7844
2,,,3.78,,5.734,,,,,,,2018-05-30 16:09:00,7844
3,,,3.94,,6.706,,,,,,38.8,2018-05-30 16:19:00,7844
4,,,2.89,,7.211,,,,,,39.07,2018-05-30 16:29:00,7844
5,,,2.47,,7.185,,,,,,39.13,2018-05-30 16:39:00,7844
6,,,2.15,,8.19,,,,,,39.22,2018-05-30 16:49:00,7844
7,,,1.91,,7.737,,,,,,39.28,2018-05-30 16:59:00,7844
8,,,2.07,,7.041,,,,,,39.34,2018-05-30 17:09:00,7844
9,,,2.09,,6.28,,,,,,39.4,2018-05-30 17:19:00,7844
10,,,6.74,,5.592,,,,,,39.4,2018-05-30 17:29:00,7844
11,,,1.4,,5.266,,,,,,39.43,2018-05-30 17:39:00,7844
12,,,1.24,,4.831,,,,,,39.52,2018-05-30 17:49:00,7844
13,,,0.82,,4.46,,,,,,39.58,2018-05-30 17:59:00,7844
14,,,1.39,,4.122,,,,,,39.64,2018-05-30 18:09:00,7844
15,,,1.2,,3.768,,,,,,39.7,2018-05-30 18:19:00,7844
16,,,0.59,,3.406,,,,,,39.73,2018-05-30 18:29:00,7844
17,,,1.75,,3.044,,,,,,39.73,2018-05-30 18:39:00,7844
18,,,0.99,,2.877,,,,,,39.76,2018-05-30 18:49:00,7844
19,,,1.05,,2.8,,,,,,39.82,2018-05-30 18:59:00,7844
20,,,1.67,,2.722,,,,,,39.88,2018-05-30 19:09:00,7844
21,,,1.76,,2.914,,,,,,39.91,2018-05-30 19:19:00,7844
22,,,5.87,,3.142,,,,,,39.91,2018-05-30 19:29:00,7844
23,,,3.27,,3.984,,,,,,39.83,2018-05-30 19:39:00,7844
24,,,3.24,,4.912,,,,,,39.75,2018-05-30 19:49:00,7844
25,,,1.85,,5.803,,,,,,39.66,2018-05-30 19:59:00,7844
26,,,2.05,,6.21,,,,,,39.58,2018-05-30 20:09:00,7844
27,,,1.59,,6.284,,,,,,39.5,2018-05-30 20:19:00,7844
28,,,2.1,,6.402,,,,,,39.41,2018-05-30 20:29:00,7844
29,,,1.95,,5.864,,,,,,39.33,2018-05-30 20:39:00,7844
30,,,1.62,,5.327,,,,,,39.25,2018-05-30 20:49:00,7844
31,,,1.31,,4.668,,,,,,39.16,2018-05-30 20:59:00,7844
32,,,1.97,,4.493,,,,,,39.08,2018-05-30 21:09:00,7844
33,,,1.72,,4.44,,,,,,39.16,2018-05-30 21:19:00,7844
34,,,1.319,,4.306,,,,,,39.25,2018-05-30 21:29:00,7844
35,,,1.43,,4.094,,,,,,39.28,2018-05-30 21:39:00,7844
36,,,1.94,,3.882,,,,,,39.34,2018-05-30 21:49:00,7844
37,,,2.239,,4.013,,,,,,39.37,2018-05-30 21:59:00,7844
38,,,2.07,,4.196,,,,,,39.43,2018-05-30 22:09:00,7844
39,,,2.5,,4.407,,,,,,39.46,2018-05-30 22:19:00,7844
40,,,1.5,,4.549,,,,,,39.49,2018-05-30 22:29:00,7844
41,,,1.42,,4.578,,,,,,39.58,2018-05-30 22:39:00,7844
42,,,1.38,,4.574,,,,,,39.67,2018-05-30 22:49:00,7844
43,,,3.16,,4.362,,,,,,39.73,2018-05-30 22:59:00,7844
44,,,2.69,,4.614,,,,,,39.73,2018-05-30 23:09:00,7844
45,,,3.52,,4.989,,,,,,39.65,2018-05-30 23:19:00,7844
46,,,3.08,,5.4,,,,,,39.56,2018-05-30 23:29:00,7844
47,,,3.73,,6.223,,,,,,39.48,2018-05-30 23:39:00,7844
48,,,3.47,,7.057,,,,,,39.4,2018-05-30 23:49:00,7844
49,,,4.77,,7.997,,,,,,39.31,2018-05-30 23:59:00,7844
50,,,3.78,,8.441,,,,,,39.31,2018-05-31 00:09:00,7844
51,,,4.87,,9.096,,,,,,39.23,2018-05-31 00:19:00,7844
52,,,2.97,,9.381,,,,,,39.14,2018-05-31 00:29:00,7844
53,,,4.25,,9.678,,,,,,39.06,2018-05-31 00:39:00,7844
54,,,3.73,,9.784,,,,,,38.98,2018-05-31 00:49:00,7844
55,,,2.51,,9.784,,,,,,39.1,2018-05-31 00:59:00,7844
56,,,1.139,,9.267,,,,,,39.25,2018-05-31 01:09:00,7844
57,,,1.119,,7.789,,,,,,39.34,2018-05-31 01:19:00,7844
58,,,1.659,,6.714,,,,,,39.43,2018-05-31 01:29:00,7844
59,,,1.039,,5.44,,,,,,39.46,2018-05-31 01:39:00,7844
60,,,1.629,,4.585,,,,,,39.46,2018-05-31 01:49:00,7844
